id,c_id,course_name,class_name,dep_id,semesters,AP,DC,CC,NCAA,max_takes,public,description
24,7122/CC,Framing and Finishing,Construction Trades: Framing and Finishing,2,2,0,1,0,0,1,1,"Construction Trades: Framing and Finishing prepares students with advanced framing skills along with interior and exterior finishing techniques. Topics include roofing applications, thermal and moisture protection, exterior finishing, cold-formed steel framing, drywall installation and finishing, doors and door hardware, suspended ceilings, window, door, floor, and ceiling trim, and cabinet installation.<br><em>Students will earn OSHA 30 (Students must have earned OSHA 10) and NCCER Carpentry Level 2 Certification (Students must have NCCER Carpentry Level 1 Certification to be eligible.)</em>."
25,7121,Civil Construction Fundamentals,,2,2,0,0,0,0,1,1,"Civil Construction Fundamentals covers the first half of NCCER Heavy Highway Construction Level 1. Its modules cover topics such as orientation to the trade, identification of equipment used in heavy highway construction, heavy highway construction safety, work-zone safety, soils, site work, excavation math, and interpreting civil drawings. The NCCER Heavy Highway Construction Level 1 certificate will not be awarded until the student successfully completes both this course and Advanced Civil Construction.<br><b><em>Students can earn flagging certification.</b></em>"
26,7118,Advanced Civil Construction,,2,2,0,0,0,0,1,1,"Advanced Civil Construction builds upon the knowledge and skills learned in the fundamentals course and covers the second half of NCCER Heavy Highway Construction Level 1. Its modules cover topics such as rigging practices, crane safety and emergency procedures, basic principles of cranes, and crane communications. The NCCER Heavy Highway Construction Level 1 certificate and wallet card will also be awarded upon successful completion of this course.<br><em><b>Students can earn OSHA 30 certification.</b></em>"
27,4802/CC,Introduction to Engineering Design,,2,2,0,1,0,0,1,1,"<em><b>Have you wondered what an engineer does for a career? Do you like drawing and designing? Have you thought about how a product works? Do you like to solve problems? Do you like to build models? Are you interested in learning technical drawing and computer modeling? If so, Introduction to Engineering Design is the class for you.</b></em><br>This course is an introduction to problem-solving with an emphasis on the development of three-dimensional computer models. Students will progress from sketching simple geometric shapes to applying a solid modeling computer software package to design real products. They will learn a problem-solving design process and how it is used in industry to manufacture a product.<br>Students will create industry-standard technical drawings and models. Students will design, 3D model, and build a desktop sign, and automata. Students will open up a product and learn how it works.<br><b>Students can earn dual credit (both high school and 6 college credits) for this course. This course is REQUIRED to complete the STEM- Engineering Pathway.</b>"
28,5644/CC,Principles of Engineering,,2,2,0,1,0,0,1,1,"<em><b>Do you want to learn more about the engineering field? Want to explore the mechanical features of machines?  Do you have an interest in robotics? Have you wondered how bridges are designed? Want to expand your knowledge and apply concepts of math and science? Do you want to complete a technical honor requirement? Want to complete an engineering pathway? If so, Principles of Engineering is the class for you!</em></b><br><b><u>Principles of Engineering</u></b> is a course that focuses on the process of applying engineering, technological, scientific, and mathematical principles in the design, production, and operation of products, structures, and systems. This is a hands-on course designed to provide students interested in engineering careers to explore experiences related to specialized fields such as civil, mechanical, and materials engineering. Students will engage in research, development, planning, design, production, and project management to simulate a career in engineering. The topics of ethics and the impacts of engineering decisions are also addressed. Classroom activities are organized to allow students to work in teams and use modern technological processes, computers, CAD software, and production systems in developing and presenting solutions to engineering problems. Schools may use the PLTW curriculum to meet the standards for this course.<br><b>Students can also earn 3 dual credits for this course through Ivy Tech (students must have earned dual credit in Introduction to Engineering Design). This course is REQUIRED to complete the STEM- Engineering Pathway.</b>"
29,5518,Aerospace Engineering,,2,2,0,0,0,0,1,1,"<b>Wonder how an aircraft works? Think you have what it takes to pilot an aircraft? Want to build a glider, rocket, or aircraft wing?</b><br><u>Aerospace Engineering</u> provides students with the fundamental knowledge and experience to apply mathematical, scientific, and engineering principles to the design, development, and evolution of aircraft, space vehicles, and their operating systems. Emphasis should include investigation and research on flight characteristics, analysis of aerodynamic design, and the impact of this technology on the environment. Classroom instruction should provide creative thinking and problem-solving activities using software that allows students to design, test, and evaluate a variety of air and space vehicles, their systems, and launching, guidance, and control procedures."
30,5650/CC,Civil Engineering and Architecture,,2,2,0,1,0,0,1,1,"<em><b>Want to design your DREAM home? Ever wonder what a civil engineer or architect does for a living? Want to learn how to design and plan the construction of a house or commercial building? Want to apply math and science concepts in the construction field? If so, Civil Engineering and Architecture is the course for you!</b></em><br><b><u>Civil Engineering and Architecture</u></b> introduces students to the fundamental design and development aspects of civil engineering and architectural planning. Application and design principles will be used in conjunction with mathematical and scientific knowledge. Computer software programs should allow students opportunities to design, simulate, and evaluate the construction of buildings and communities. During the planning and design phases, instructional emphasis should be placed on related transportation, water resources, and environmental issues. Activities should include the preparation of cost estimates, as well as, a review of regulatory procedures that would affect the project design.<br><b>Students can also earn 3 dual credits for this course through Ivy Tech. (Students must have earned dual credit in Introduction to Engineering Design.)</b>"
31,5534,Computer Integrated Manufacturing,,2,2,0,0,0,0,1,1,"<b>Have you ever wanted to use a 3D printer, laser cutter, CNC Mill, or CNC router? Do you like the idea of designing and creating a product? Want to use modern manufacturing equipment to develop skills for a future career in manufacturing, design, or engineering?</b><br><u>Computer-Integrated Manufacturing</u> is a course that applies principles of rapid prototyping, robotics, and automation. Students will use computer-controlled prototyping equipment, such as CNC mills, laser engravers, and 3D printers, to solve problems by constructing actual models of their three-dimensional designs. Students will also be introduced to the fundamentals of robotics and how this equipment is used in an automated manufacturing environment. Students evaluate their design solutions using various techniques of analysis and make appropriate modifications before producing their prototypes."
32,1002,English 9,,2,2,0,0,0,1,1,1,"English 9, an integrated English course based on the Indiana Academic Standards for English/Language Arts in Grades 9-10, is a study of language, literature, composition, and oral communication, focusing on literature within an appropriate level of complexity for this grade band. Students use literary interpretation, analysis, comparisons, and evaluation to read and respond to representative works of historical or cultural significance in classic and contemporary literature balanced with nonfiction. Students write responses to literature, expository (informative), narrative, and argumentative/persuasive compositions, and sustained research assignments.  Students deliver grade-appropriate presentations with attention to audience and purpose and access, analyze, and evaluate online information. Novels and plays read in the entirety include: <em>Of Mice and Men</em>, and <em>The Other Wes Moore</em>."
33,1002/H,English 9 Honors,,2,2,0,0,0,1,1,1,"Honors English 9 is a course designed to expand upon the college-bound English 9 curriculum. Students will study a more expansive variety of genres and authors with an emphasis on a more in-depth analysis of said authors. A major emphasis of this class is to improve student writing across the curriculum through the inclusion of a variety of writing styles. Audience and purpose will be addressed. This class is intended to begin preparing students for AP and Dual Credit Courses at FCHS.  Novels and plays read in the entirety include: <em>Fahrenheit 451</em>, <em>Lord of the Flies</em>, and <em>Much Ado About Nothing</em>."
